; CSV, generated by atk_libsigrok4 1.0.0 on 2026-07-31 11:04:28
; Channels (5/16)
; ChannelsType: 31
; Sample rate: 20 MHz
; Sample count: 9.536743 M
; Sampling time: 2026-07-31 10:59:07.619
SystemTime, Time(s), STV_mode, oepsn, ud, cpv, chip_sel
'2026-07-31 10:59:07.694629350,0.007629350,0,0,0,0,1
'2026-07-31 10:59:07.694632350,0.007632350,0,0,0,1,0
'2026-07-31 10:59:07.694779350,0.007779350,0,0,0,0,1
'2026-07-31 10:59:07.694782350,0.007782350,0,0,0,1,0
'2026-07-31 10:59:07.694929350,0.007929350,0,0,0,0,1
'2026-07-31 10:59:07.694932350,0.007932350,0,0,0,1,0
'2026-07-31 10:59:07.695079350,0.008079350,0,0,0,0,1
'2026-07-31 10:59:07.695082350,0.008082350,0,0,0,1,0
'2026-07-31 10:59:07.695229350,0.008229350,0,0,0,0,1
'2026-07-31 10:59:07.695232350,0.008232350,0,0,0,1,0
'2026-07-31 10:59:07.695379350,0.008379350,0,0,0,0,1
'2026-07-31 10:59:07.695382350,0.008382350,0,0,0,1,0
'2026-07-31 10:59:07.695529350,0.008529350,0,0,0,0,1
'2026-07-31 10:59:07.695532350,0.008532350,0,0,0,1,0
'2026-07-31 10:59:07.695679350,0.008679350,0,0,0,0,1
'2026-07-31 10:59:07.695682350,0.008682350,0,0,0,1,0
'2026-07-31 10:59:07.695829350,0.008829350,0,0,0,0,1
'2026-07-31 10:59:07.695832350,0.008832350,0,0,0,1,0
'2026-07-31 10:59:07.695979350,0.008979350,0,0,0,0,1
'2026-07-31 10:59:07.695982350,0.008982350,0,0,0,1,0
'2026-07-31 10:59:07.696129350,0.009129350,0,0,0,0,1
'2026-07-31 10:59:07.696132350,0.009132350,0,0,0,1,0
'2026-07-31 10:59:07.696279350,0.009279350,0,0,0,0,1
'2026-07-31 10:59:07.696282350,0.009282350,0,0,0,1,0
'2026-07-31 10:59:07.696429350,0.009429350,0,0,0,0,1
'2026-07-31 10:59:07.696432300,0.009432300,0,0,0,0,0
'2026-07-31 10:59:07.696432350,0.009432350,0,0,0,1,0
'2026-07-31 10:59:07.696579350,0.009579350,0,0,0,0,1
'2026-07-31 10:59:07.696582300,0.009582300,0,0,0,0,0
'2026-07-31 10:59:07.696582350,0.009582350,0,0,0,1,0
'2026-07-31 10:59:07.696729350,0.009729350,0,0,0,0,1
'2026-07-31 10:59:07.696732300,0.009732300,0,0,0,0,0
'2026-07-31 10:59:07.696732350,0.009732350,0,0,0,1,0
'2026-07-31 10:59:07.696879350,0.009879350,0,0,0,0,1
'2026-07-31 10:59:07.696882300,0.009882300,0,0,0,0,0
'2026-07-31 10:59:07.696882350,0.009882350,0,0,0,1,0
'2026-07-31 10:59:07.697029350,0.010029350,0,0,0,0,1
'2026-07-31 10:59:07.697032300,0.010032300,0,0,0,0,0
'2026-07-31 10:59:07.697032350,0.010032350,0,0,0,1,0
'2026-07-31 10:59:07.697179350,0.010179350,0,0,0,0,1
'2026-07-31 10:59:07.697182300,0.010182300,0,0,0,0,0
'2026-07-31 10:59:07.697182350,0.010182350,0,0,0,1,0
'2026-07-31 10:59:07.697329350,0.010329350,0,0,0,0,1
'2026-07-31 10:59:07.697332300,0.010332300,0,0,0,0,0
'2026-07-31 10:59:07.697332350,0.010332350,0,0,0,1,0
'2026-07-31 10:59:07.697479350,0.010479350,0,0,0,0,1
'2026-07-31 10:59:07.697482300,0.010482300,0,0,0,0,0
'2026-07-31 10:59:07.697482350,0.010482350,0,0,0,1,0
'2026-07-31 10:59:07.697629350,0.010629350,0,0,0,0,1
'2026-07-31 10:59:07.697632300,0.010632300,0,0,0,0,0
'2026-07-31 10:59:07.697632350,0.010632350,0,0,0,1,0
'2026-07-31 10:59:07.697779350,0.010779350,0,0,0,0,1
'2026-07-31 10:59:07.697782300,0.010782300,0,0,0,0,0
'2026-07-31 10:59:07.697782350,0.010782350,0,0,0,1,0
'2026-07-31 10:59:07.697929350,0.010929350,0,0,0,0,1
'2026-07-31 10:59:07.697932300,0.010932300,0,0,0,0,0
'2026-07-31 10:59:07.697932350,0.010932350,0,0,0,1,0
'2026-07-31 10:59:07.698079350,0.011079350,0,0,0,0,1
'2026-07-31 10:59:07.698082300,0.011082300,0,0,0,0,0
'2026-07-31 10:59:07.698082350,0.011082350,0,0,0,1,0
'2026-07-31 10:59:07.698229350,0.011229350,0,0,0,0,1
'2026-07-31 10:59:07.698232300,0.011232300,0,0,0,0,0
'2026-07-31 10:59:07.698232350,0.011232350,0,0,0,1,0
'2026-07-31 10:59:07.698379350,0.011379350,0,0,0,0,1
'2026-07-31 10:59:07.698382300,0.011382300,0,0,0,0,0
'2026-07-31 10:59:07.698382350,0.011382350,0,0,0,1,0
'2026-07-31 10:59:07.698529350,0.011529350,0,0,0,0,1
'2026-07-31 10:59:07.698532300,0.011532300,0,0,0,0,0
'2026-07-31 10:59:07.698532350,0.011532350,0,0,0,1,0
'2026-07-31 10:59:07.698679350,0.011679350,0,0,0,0,1
'2026-07-31 10:59:07.698682300,0.011682300,0,0,0,0,0
'2026-07-31 10:59:07.698682350,0.011682350,0,0,0,1,0
'2026-07-31 10:59:07.698829350,0.011829350,0,0,0,0,1
'2026-07-31 10:59:07.698832300,0.011832300,0,0,0,0,0
'2026-07-31 10:59:07.698832350,0.011832350,0,0,0,1,0
'2026-07-31 10:59:07.698979350,0.011979350,0,0,0,0,1
'2026-07-31 10:59:07.698982300,0.011982300,0,0,0,0,0
'2026-07-31 10:59:07.698982350,0.011982350,0,0,0,1,0
'2026-07-31 10:59:07.699129350,0.012129350,0,0,0,0,1
'2026-07-31 10:59:07.699132300,0.012132300,0,0,0,0,0
