; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-05 17:53:45
; Channels (8/16)
; ChannelsType: 255
; Sample rate: 100 MHz
; Sample count: 47.683716 M
; Sampling time: 2026-08-05 17:53:30.124
SystemTime, Time(s), roic_reset_p1, sync_p1             , aclk_p1, dout_n_A1, dclk_n_A1, dclk_p_A1, spi_sdo_p1, dout_p_A1
'2026-08-05 17:53:30.239271450,0.046271450,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271470,0.046271470,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271720,0.046271720,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271770,0.046271770,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239271830,0.046271830,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239271880,0.046271880,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239273000,0.046273000,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273060,0.046273060,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273070,0.046273070,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273350,0.046273350,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273360,0.046273360,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273460,0.046273460,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273520,0.046273520,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273550,0.046273550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273570,0.046273570,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273580,0.046273580,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273620,0.046273620,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273630,0.046273630,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273640,0.046273640,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273670,0.046273670,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239273680,0.046273680,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239273690,0.046273690,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239274810,0.046274810,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239274820,0.046274820,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239274870,0.046274870,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239274930,0.046274930,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239274940,0.046274940,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239275010,0.046275010,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239275060,0.046275060,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239275090,0.046275090,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239275100,0.046275100,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239275170,0.046275170,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239275190,0.046275190,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239275280,0.046275280,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239275290,0.046275290,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239275320,0.046275320,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239275500,0.046275500,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239276620,0.046276620,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239276870,0.046276870,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239276880,0.046276880,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239276900,0.046276900,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239276910,0.046276910,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239276950,0.046276950,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239276990,0.046276990,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239277070,0.046277070,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239277100,0.046277100,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239277150,0.046277150,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239277180,0.046277180,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239277190,0.046277190,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239277220,0.046277220,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239277260,0.046277260,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239277290,0.046277290,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239277310,0.046277310,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239278430,0.046278430,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239279110,0.046279110,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239279120,0.046279120,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239280240,0.046280240,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239280390,0.046280390,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239280400,0.046280400,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239280550,0.046280550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239280560,0.046280560,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239280670,0.046280670,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239280680,0.046280680,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239280710,0.046280710,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239280720,0.046280720,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239280740,0.046280740,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239280800,0.046280800,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239280830,0.046280830,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239280930,0.046280930,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239282050,0.046282050,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282060,0.046282060,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282110,0.046282110,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282120,0.046282120,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282150,0.046282150,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282160,0.046282160,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282180,0.046282180,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282200,0.046282200,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282310,0.046282310,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282320,0.046282320,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282470,0.046282470,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282480,0.046282480,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282540,0.046282540,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282560,0.046282560,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282590,0.046282590,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282600,0.046282600,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282610,0.046282610,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282620,0.046282620,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282630,0.046282630,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282640,0.046282640,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282650,0.046282650,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239282660,0.046282660,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239282740,0.046282740,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239283860,0.046283860,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284030,0.046284030,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284040,0.046284040,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284070,0.046284070,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284080,0.046284080,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284110,0.046284110,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284130,0.046284130,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284140,0.046284140,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284180,0.046284180,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284190,0.046284190,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284210,0.046284210,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284220,0.046284220,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284330,0.046284330,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284340,0.046284340,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284370,0.046284370,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284390,0.046284390,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239284400,0.046284400,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239284550,0.046284550,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239285670,0.046285670,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239285680,0.046285680,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239285700,0.046285700,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239285730,0.046285730,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239285750,0.046285750,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239285780,0.046285780,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239285790,0.046285790,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239285890,0.046285890,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239285900,0.046285900,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239285930,0.046285930,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239286130,0.046286130,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239286160,0.046286160,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239286240,0.046286240,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239286280,0.046286280,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239286340,0.046286340,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239286360,0.046286360,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239287480,0.046287480,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239287490,0.046287490,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239287530,0.046287530,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239287560,0.046287560,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239287570,0.046287570,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239287620,0.046287620,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239287630,0.046287630,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239287810,0.046287810,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239287820,0.046287820,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239288050,0.046288050,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239288080,0.046288080,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239288170,0.046288170,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239289290,0.046289290,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239289300,0.046289300,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239289320,0.046289320,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239289520,0.046289520,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239289550,0.046289550,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239289600,0.046289600,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239289620,0.046289620,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239289640,0.046289640,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239289650,0.046289650,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239289980,0.046289980,0,1,0,1,0,1,0,0
'2026-08-05 17:53:30.239291100,0.046291100,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239291120,0.046291120,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239291160,0.046291160,0,1,0,1,1,1,0,0
'2026-08-05 17:53:30.239291250,0.046291250,0,1,0,1,1,0,0,0
'2026-08-05 17:53:30.239291320,0.046291320,0,1,0,1,1,1,0,0
